aar,knr,aarknr,kommunenavn,bm_andel_forrige_valg,bm_andel_dette_valg,d_borgmesterparti,d_udvalgsformandsparti,d_valgdeltagelse,skolelukning,antal_skolelukning,borgmesterparti,udvalgsformandsparti,delt_inst_ansvar,delt_pol_ansvar,koalition,afstand_valg,aftale_borgmester,aftale_udvalgsformand,besluttet_aar,skoleluk_aar_i_valgperiode,ny_borgmester,sammenlagt_kommune,valgvind_bm,est_ft_bm,valgvind_uf,est_ft_uf,friskole_antal,friskole,d_nettodriftsudgifter,dt0_nettodriftsudgifter,koalition_kat
2017,167,2017167,Hvidovre,0.330083102,0.338159528,0.008076425,0.008076425,-0.02664109,0,0,A,A,0,NA,NA,NA,NA,NA,NA,0,0,0,0.051346245,0.316551724,0.051346245,0.316551724,NA,NA,261,-1149,0
2017,169,2017169,Høje-Taastrup,0.412489664,0.476377953,0.063888289,0.063888289,-0.032971677,0,0,C,C,0,NA,NA,NA,NA,NA,NA,0,0,0,0.006939759,0.066,0.006939759,0.066,NA,NA,-443,-177,0
2017,173,2017173,Lyngby-Taarbæk,0.244193305,0.366326263,0.122132959,0.122132959,-0.011611039,0,0,C,C,0,NA,NA,NA,NA,NA,NA,0,1,0,0.01212,0.09812,0.01212,0.09812,NA,NA,-673,-1042,0
2017,175,2017175,Rødovre,0.465578315,0.518624936,0.053046621,0.053046621,-0.024282783,0,0,A,A,0,NA,NA,NA,NA,NA,NA,0,0,0,0.050556448,0.337241379,0.050556448,0.337241379,NA,NA,-1655,291,0
2017,183,2017183,Ishøj,0.512089332,0.515009289,0.002919957,0.002919957,-0.076013095,0,0,A,A,0,NA,NA,NA,NA,NA,NA,0,0,0,0.043271138,0.332586207,0.043271138,0.332586207,NA,NA,-4506,-2406,0
2017,185,2017185,Tårnby,0.399720821,0.406532504,0.006811682,0.006811682,-0.023088542,0,0,A,A,0,NA,NA,NA,NA,NA,NA,0,0,0,0.075859235,0.313448276,0.075859235,0.313448276,NA,NA,-1531,670,0
2017,187,2017187,Vallensbæk,0.525744265,0.510640813,-0.015103452,-0.015103452,-0.024412684,0,0,C,C,0,NA,NA,NA,NA,NA,NA,0,0,0,1.0506e-4,0.09284,1.0506e-4,0.09284,NA,NA,-946,1026,0
2017,190,2017190,Furesø,0.40730897,0.400448779,-0.006860191,-0.006860191,-0.027547668,0,0,A,A,0,NA,NA,NA,NA,NA,NA,0,1,1,0.041959849,0.229137931,0.041959849,0.229137931,NA,NA,-2127,-1405,0
2017,201,2017201,Allerød,0.266643599,0.209000864,-0.057642734,0.035921721,-0.008893277,0,0,C,A,1,NA,NA,NA,NA,NA,NA,0,1,0,0.012588434,0.09548,0.045739254,0.207931034,NA,NA,-1141,-2204,0
2017,210,2017210,Fredensborg,0.289511559,0.315657455,0.026145896,0.005143904,-0.013937187,0,0,A,F,1,NA,NA,NA,NA,NA,NA,0,1,1,0.041829003,0.211034483,0.001299887,0.047478992,NA,NA,-2845,-3015,0
2017,217,2017217,Helsingør,0.297503864,0.327797526,0.030293662,0.003937618,-0.018497585,0,0,C,B,1,NA,NA,NA,NA,NA,NA,0,1,0,0.010920964,0.07568,-0.028270148,0.064212121,NA,NA,-2484,-1878,0
2017,219,2017219,Hillerød,0.102155031,0.055592743,-0.046562289,0.00277081,-0.019552812,0,0,C,F,1,NA,NA,NA,NA,NA,NA,0,1,1,0.003192771,0.055,0.001912705,0.050420168,NA,NA,-1196,-1546,0
2017,223,2017223,Hørsholm,0.396182207,0.416948236,0.02076603,0.02076603,-0.004100944,0,0,C,C,0,NA,NA,NA,NA,NA,NA,0,1,0,0.015710361,0.14212,0.015710361,0.14212,NA,NA,-3427,-1774,0
2017,230,2017230,Rudersdal,0.348108213,0.305712832,-0.042395381,-0.042395381,-0.008571343,0,0,V,V,0,NA,NA,NA,NA,NA,NA,0,0,1,-0.107768232,0.221002331,-0.107768232,0.221002331,NA,NA,-1969,-578,0
2017,240,2017240,Egedal,0.271374368,0.274694691,0.003320324,0.003320324,-0.015948888,0,0,V,V,0,NA,NA,NA,NA,NA,NA,0,0,1,-0.091809524,0.207272727,-0.091809524,0.207272727,NA,NA,300,1213,0
2017,250,2017250,Frederikssund,0.303771456,0.323891431,0.020119975,0.020119975,-0.008504693,1,1,V,V,0,1,0.565217391,1098,1,1,2014,1,1,1,-0.086647686,0.206386946,-0.086647686,0.206386946,0,0,-631,311,1
2017,253,2017253,Greve,0.363291985,0.365939764,0.002647778,0.009667259,-0.028468795,1,1,V,I,1,1,0.619047619,701,1,1,2015,2,1,0,-0.075300033,0.241375291,-4.11429e-4,0.059428571,0,0,-1652,-1164,1
2017,259,2017259,Køge,0.064339718,0.147297659,0.082957941,-0.102225077,-0.032889218,1,1,C,V,1,1,1,1155,1,1,2014,1,1,1,9.21928e-4,0.04444,-0.060502498,0.202843823,0,0,-421,-1333,4
2017,260,2017260,Halsnæs,0.279808678,0.248500622,-0.031308055,-0.031308055,-0.020448296,1,1,V,V,0,1,0.523809524,1337,1,1,2014,1,1,1,-0.075041958,0.167412587,-0.075041958,0.167412587,1,1,-2972,-582,1
2017,265,2017265,Roskilde,0.392508556,0.457616559,0.065108003,0.065108003,0.003929304,0,0,A,A,0,NA,NA,NA,NA,NA,NA,0,0,1,0.049805385,0.257586207,0.049805385,0.257586207,NA,NA,-514,568,0
2017,269,2017269,Solrød,0.363643858,0.362880228,-7.6363e-4,0.012534233,-0.016653709,0,0,V,A,1,NA,NA,NA,NA,NA,NA,0,0,0,-0.082828838,0.24979021,0.046702881,0.22862069,NA,NA,-853,1547,0
2017,270,2017270,Gribskov,0.390685369,0.259437516,-0.131247853,0.00526968,-0.017360699,0,0,V,C,1,NA,NA,NA,NA,NA,NA,0,1,1,-0.115190476,0.213030303,0.011773012,0.04752,NA,NA,261,237,0
2017,306,2017306,Odsherred,0.405448635,0.43467861,0.029229974,5.64924e-4,-0.009823516,1,1,A,O,1,1,0.92,574,1,1,2016,3,1,1,0.069415683,0.305689655,-0.009712896,0.228885906,0,0,-1542,-304,4
2017,316,2017316,Holbæk,0.339252909,0.201397176,-0.137855733,-0.009770288,0.023100188,1,3,V,A,1,0,0.666666667,988.3333333,1,0,2015,2,0,1,-0.060899767,0.193100233,0.059070855,0.295344828,1,1,-3576,327,2
2017,320,2017320,Faxe,0.244567163,0.292368381,0.047801218,-0.01927517,-0.022981695,0,0,A,V,1,NA,NA,NA,NA,NA,NA,0,0,1,0.060939065,0.273103448,-0.069222777,0.197972028,NA,NA,300,-450,0
2017,326,2017326,Kalundborg,0.370346767,0.353088263,-0.017258504,-0.017258504,-0.012968656,1,1,V,V,0,1,0.777777778,272,1,1,2017,4,1,1,-0.053691309,0.201958042,-0.053691309,0.201958042,1,1,-3230,-1999,3
2017,329,2017329,Ringsted,0.291964093,0.266211421,-0.025752672,0.007231204,-0.029739995,0,0,V,A,1,NA,NA,NA,NA,NA,NA,0,1,0,-0.059128205,0.194871795,0.044965517000000003,0.268965517,NA,NA,-713,79,0
